epoch,learning_times,real_time,,,,
423,581,0.711750031,,,,
424,506,0.647233009,,,,
425,565,0.696258068,,,,
426,556,0.684127092,,,,
427,556,0.70724082,,,,
428,491,0.604626179,,,,
429,470,0.579235077,,,,
430,452,0.55002594,,,,
431,582,0.717098236,,,,
432,451,0.598203182,,,,
433,484,0.589087009,,,,
434,610,0.749477148,,,,
435,547,0.672367096,,,,
436,435,0.531055927,,,,
437,443,0.54492116,,,,
438,446,0.541604996,,,,
439,485,0.594343901,,,,
440,462,0.567800999,,,,
441,535,0.655015945,,,,
442,461,0.570399046,,,,
443,488,0.603075981,,,,
444,682,0.858754158,,,,
445,585,0.72602582,,,,
446,603,0.743728161,,,,
447,463,0.570866823,,,,
448,530,0.699037075,,,,
449,567,0.719758034,,,,
450,625,0.913588047,,,,
451,531,0.641298056,,,,
452,488,0.593431711,,,,
453,523,0.634185076,,,,
454,417,0.507637978,,,,
455,452,0.564960957,,,,
456,485,0.591021776,,,,
457,548,0.666127205,,,,
458,444,0.547763348,,,,
459,581,0.707306862,,,,
460,567,0.69217515,,,,
461,498,0.603232861,,,,
462,553,0.698076963,,,,
463,501,0.644120932,,,,
464,525,0.635349035,,,,
465,458,0.557465792,,,,
466,597,0.730423212,,,,
467,554,0.669841766,,,,
468,561,0.683940172,,,,
469,539,0.65503788,,,,
470,548,0.664367199,,,,
471,527,0.642125845,,,,
472,496,0.601038933,,,,
473,623,0.774137974,,,,
474,656,0.796464205,,,,
475,570,0.691021919,,,,
476,590,0.713334084,,,,
477,655,0.795315027,,,,
478,555,0.709759951,,,,
479,514,0.622308254,,,,
480,479,0.589363098,,,,
481,549,0.669561148,,,,
482,493,0.602771759,,,,
483,768,0.937090874,,,,
484,568,0.685410023,,,,
485,483,0.605821848,,,,
486,571,0.697227001,,,,
487,644,0.783648014,,,,
488,523,0.633378744,,,,
489,441,0.605148792,,,,
490,504,0.607995272,,,,
491,560,0.68099618,,,,
492,511,0.62308383,,,,
493,462,0.595231056,,,,
494,525,0.637601137,,,,
495,495,0.604111195,,,,
496,530,0.643876076,,,,
497,687,0.830218077,,,,
498,521,0.633157253,,,,
499,437,0.528123856,,,,
500,533,0.650513172,,,,
501,620,0.750298977,,,,
502,584,0.713245153,,,,
503,571,0.693841934,,,,
504,532,0.660076857,,,,
505,755,0.917727947,,,,
506,578,0.700520992,,,,
507,451,0.55429101,,,,
508,486,0.626739025,,,,
509,700,0.855093002,,,,
510,579,0.702017069,,,,
511,492,0.597121,,,,
512,676,0.815526962,,,,
513,569,0.691362858,,,,
514,445,0.559508801,,,,
515,498,0.60552597,,,,
516,602,0.733449936,,,,
517,508,0.643305063,,,,
518,666,0.809778929,,,,
519,615,0.747759104,,,,
520,469,0.573212862,,,,
521,569,0.695035219,,,,
522,484,0.62174511,,,,
523,500,0.609281778,,,,
524,552,0.67609024,,,,
525,522,0.635311842,,,,
526,530,0.644599915,,,,
527,482,0.588797808,,,,
528,564,0.688412905,,,,
529,516,0.633649111,,,,
530,578,0.703961849,,,,
531,481,0.588458061,,,,
532,405,0.496715069,,,,
533,453,0.553305864,,,,
534,561,0.705214024,,,,
535,606,0.73484993,,,,
536,491,0.600784302,,,,
537,469,0.58010602,,,,
538,607,0.770501852,,,,
539,399,0.48623991,,,,
540,637,0.779013872,,,,
541,572,0.691260338,,,,
542,535,0.652065039,,,,
543,487,0.589970112,,,,
544,540,0.651062012,,,,
545,473,0.598038197,,,,
546,533,0.646310091,,,,
547,537,0.655898094,,,,
548,484,0.588334084,,,,
549,566,0.698812962,,,,
550,631,0.761817217,,,,
551,576,0.710366964,,,,
552,533,0.658143044,,,,
553,615,0.778680801,,,,
554,769,0.93979001,,,,
555,595,0.725345135,,,,
556,581,0.704388857,,,,
557,432,0.524200201,,,,
558,536,0.657976151,,,,
559,462,0.567823887,,,,
560,545,0.661437988,,,,
561,498,0.606754065,,,,
